id,task_statement_id,scenario,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,correct_explanation,wrong_explanation_1,wrong_explanation_2,wrong_explanation_3,created_at,service_tags
02f94065-5a27-4e18-bbbd-7ba15e50baf5,7a34a3da-ca83-4288-8702-a64a0a7a64d9,A company runs a transactional application on Amazon RDS for PostgreSQL with Multi-AZ enabled. A cost review shows that the RDS instance is significantly over-provisioned — CPU averages 8% and memory usage is 20%. The company wants to reduce RDS costs without changing the database engine or losing Multi-AZ availability. Which action should the solutions architect take?,"Downsize the RDS instance to a smaller instance class that matches the actual CPU and memory requirements, maintaining Multi-AZ for availability.",Disable RDS Multi-AZ to eliminate the standby instance cost and rely on automated backups for recovery.,Migrate the database to Amazon DynamoDB to take advantage of on-demand pricing and eliminate over-provisioning.,Convert the RDS instance to a Reserved Instance with a 3-year term to reduce the hourly cost of the over-provisioned instance.,"If the instance is significantly over-provisioned (8% CPU, 20% memory), downsizing to a smaller instance class directly reduces the hourly cost while maintaining the same database engine and Multi-AZ configuration. AWS Compute Optimizer or RDS Performance Insights can help identify the appropriate target instance size.","Disabling Multi-AZ eliminates the standby instance cost but removes automatic failover capability, increasing the RTO during a failure. The question specifies that Multi-AZ availability must be maintained.","Migrating from RDS PostgreSQL to DynamoDB requires a complete redesign of the data model and application queries. DynamoDB is a NoSQL database that does not support SQL, transactions in the same way, or relational schemas. This is a major architectural change, not a cost optimization.","Purchasing a Reserved Instance for an over-provisioned instance reduces the hourly rate but does not address the root cause — the instance is too large for the workload. Paying a discounted rate for unnecessary capacity still wastes money. Rightsizing first, then reserving, is the correct sequence.",2026-05-17 09:15:05.769168+00,"[""rds""]"
03160ac2-98fa-41b9-ba75-21edc22cefa5,b6892439-bcfe-4122-a23b-8aa06d1ca2b3,A company wants to identify underutilized EC2 instances and over-provisioned EBS volumes across its AWS account to reduce costs. The company wants recommendations without building custom monitoring logic. Which AWS tool provides these recommendations automatically?,"Use AWS Compute Optimizer, which analyzes CloudWatch metrics and provides rightsizing recommendations for EC2 instances, EBS volumes, Lambda functions, and ECS services.",Use AWS Cost Explorer with Reserved Instance utilization reports to identify underutilized instances.,Use Amazon CloudWatch dashboards to visualize CPU and memory utilization across all EC2 instances.,Use AWS Trusted Advisor to check for low-utilization EC2 instances based on CPU utilization thresholds.,"AWS Compute Optimizer uses machine learning to analyze historical CloudWatch utilization metrics and provides specific rightsizing recommendations — including recommended instance types, sizes, and EBS volume configurations — with projected cost savings. It requires no custom logic and covers EC2, EBS, Lambda, and ECS.","AWS Cost Explorer's RI utilization reports show how well Reserved Instances are being used, not whether On-Demand instances are over-provisioned. It provides cost visibility but not specific rightsizing recommendations for instance types or EBS volumes.",CloudWatch dashboards visualize metrics but do not provide automated rightsizing recommendations. Building dashboards requires manual configuration and interpreting the data to identify optimization opportunities.,"AWS Trusted Advisor does check for low-utilization EC2 instances (CPU < 10% for 14 days), but it provides basic threshold-based checks rather than the ML-driven, specific rightsizing recommendations with projected savings that Compute Optimizer provides.",2026-05-17 09:15:05.769168+00,"[""compute-optimizer"",""ec2"",""ebs""]"
038e7270-d894-46bb-a0fd-790f3018b2af,75280f72-7d61-4634-97a4-05b518fdf8bc,"A data engineering team runs AWS Glue ETL jobs that process data from Amazon S3. The team wants to monitor job execution metrics such as the number of records processed, data processed in bytes, and job duration. They want to create custom CloudWatch dashboards to visualize these metrics. Which AWS Glue feature publishes job metrics to CloudWatch?",Enable job metrics in the Glue job configuration,Enable AWS Glue job bookmarks,Configure AWS Glue to write logs to CloudWatch Logs,Use AWS Glue Data Quality rules,"AWS Glue jobs can publish metrics to Amazon CloudWatch when job metrics are enabled in the job configuration. These metrics include records processed, bytes processed, and job duration. You can then create CloudWatch dashboards to visualize these metrics and monitor job performance.",AWS Glue job bookmarks track which data has been processed to avoid reprocessing. They do not publish job execution metrics to CloudWatch.,"Configuring Glue to write logs to CloudWatch Logs provides log data for debugging and troubleshooting, but it does not publish structured metrics like records processed or bytes processed. Job metrics provide quantitative performance data.",AWS Glue Data Quality rules validate data against defined constraints and publish data quality metrics. They do not publish job execution metrics like records processed or job duration.,2026-05-17 09:12:49.173773+00,"[""glue"",""cloudwatch""]"
03e16313-cd0f-4117-8e99-23363d10e36c,9b404649-9fb2-4423-bc14-a468b6d11f67,"A machine learning team uses Amazon SageMaker Studio to develop and train models. The security team requires that all SageMaker Studio traffic to AWS services (S3, ECR, SageMaker APIs) must route through the private AWS network and not traverse the public internet. Which configuration achieves this?",Deploy SageMaker Studio in a VPC with VPC-only mode and create interface VPC endpoints for the required AWS services,Enable SageMaker Studio encryption and use AWS KMS customer-managed keys,Attach an IAM policy to the SageMaker execution role that denies internet access,Configure a NAT Gateway in the VPC to route all outbound traffic through a single IP,"SageMaker Studio VPC-only mode routes all traffic through the customer's VPC instead of the public internet. Interface VPC endpoints (AWS PrivateLink) for S3, ECR, and SageMaker APIs ensure that traffic to these services stays within the AWS private network, satisfying the security requirement.",KMS encryption protects data at rest and in transit but does not control network routing. It does not prevent Studio traffic from traversing the public internet.,IAM policies control API authorization (what actions are allowed) but do not control network routing. An IAM policy cannot prevent network traffic from routing through the public internet.,A NAT Gateway routes outbound traffic through a single IP but still sends traffic over the public internet. It does not keep traffic within the AWS private network as required.,2026-05-17 09:13:59.248925+00,"[""sagemaker"",""vpc"",""privatelink""]"
04756d46-604e-46a8-bf0c-788282e39066,04c63002-ea7a-4278-b6bd-626221c15b1b,"A security team wants to identify any IAM roles, S3 buckets, KMS keys, or other resources in their accounts that are shared with external accounts or made public — without manually auditing each one. Which AWS service should the team use?",IAM Access Analyzer,AWS Trusted Advisor,Amazon Inspector,AWS Config,"IAM Access Analyzer continuously monitors resource-based policies and identifies resources shared with external principals (other accounts, public internet, federated identities). It produces findings the team can review and act on.",Trusted Advisor has a small set of security checks but is not the dedicated cross-resource external-sharing analyzer.,Inspector scans workloads for software vulnerabilities. It does not analyze resource sharing policies.,AWS Config tracks resource configuration changes; it does not specifically analyze access policies for external sharing the way Access Analyzer does.,2026-05-17 09:08:24.437166+00,"[""iam-access-analyzer""]"
04977e7a-41d5-402a-98e4-455ea487bcb8,94481e42-2c76-4d1c-9572-86aa3ef0b271,"Which LLM inference parameter restricts sampling to the smallest set of tokens whose cumulative probability is at least P, encouraging diversity while excluding very low-probability tokens?",Top-P (nucleus sampling),Top-K,Temperature,Stop sequences,Top-P (nucleus sampling) considers only the smallest set of tokens whose cumulative probability is ≥ P. This excludes very low-probability tokens while preserving diversity among reasonably likely ones.,Top-K restricts sampling to the K most probable tokens regardless of probability mass — a related but distinct parameter.,Temperature scales the probability distribution before sampling but does not cut off tails by cumulative probability.,Stop sequences end generation when matched; they do not control token sampling diversity.,2026-05-17 09:10:38.106984+00,
0507b621-f6c6-498a-ada6-ab193bb9655c,907c18a4-f408-4e70-8a4d-aa9dc2bd9fc1,"Your team uses CloudFormation templates and CodePipeline to deploy infrastructure and application code. Manual changes through the console are forbidden, and all environments are reproduced from version-controlled definitions. Which Well-Architected design principle does this practice illustrate?",Perform operations as code,Scale horizontally,Decouple components,Implement security at all layers,"""Perform operations as code"" means defining infrastructure, runbooks, and deployments in version-controlled code so they can be tested, repeated, and audited. Using CloudFormation and CodePipeline with no manual console changes is the textbook implementation of this principle.","Horizontal scaling adds more small resources to handle load. It is about workload sizing, not about codifying operations.",Decoupling components reduces dependencies between services. It is a separate architectural design principle.,"Defense in depth is a security principle. While important, it is not what is illustrated by using IaC for all deployments.",2026-05-17 09:07:51.173233+00,"[""cloudformation"",""codepipeline""]"
06419c51-1408-433d-9794-24dee4ff453e,965352ab-d37a-454b-8d69-2c24f029b6c8,A company needs to transfer data from an on-premises Hadoop HDFS cluster to Amazon S3 as part of a cloud migration. The data is 20 TB and the on-premises environment has a 10 Gbps AWS Direct Connect connection already provisioned. The team wants a managed service that handles data integrity verification and bandwidth throttling. Which AWS service should be used?,AWS DataSync,AWS Snowball Edge,Amazon S3 Transfer Acceleration,AWS Storage Gateway,"AWS DataSync is a managed data transfer service that supports HDFS as a source and S3 as a destination. It performs automatic data integrity verification using checksums, supports bandwidth throttling to avoid saturating the Direct Connect link, and handles automatic retries — making it ideal for this managed migration scenario.","AWS Snowball Edge is a physical device for offline data transfer, used when network bandwidth is insufficient. With a 10 Gbps Direct Connect already in place, a network-based transfer via DataSync is faster and more appropriate than shipping a physical device.","S3 Transfer Acceleration improves upload speeds by routing through CloudFront edge locations over the public internet. Since a Direct Connect connection is already available, DataSync over Direct Connect provides a more reliable and private path.","AWS Storage Gateway provides hybrid cloud storage integration for on-premises applications to access AWS storage. It is designed for ongoing hybrid access patterns, not for one-time bulk data migration from HDFS.",2026-05-17 09:12:23.431976+00,"[""datasync"",""s3"",""direct-connect""]"
07a023ec-f29c-45f0-8250-10965e6704f6,33e0d447-3d60-4b1d-8dfd-b53901cf0b01,"A developer is building a web application where users log in with their Google accounts. After authentication, users need temporary AWS credentials to access specific AWS resources. The application uses Amazon Cognito. What is the correct flow to obtain AWS credentials for a Google-authenticated user?","Authenticate with Google to get a Google ID token, exchange it through a Cognito Identity Pool for temporary AWS credentials via STS.","Authenticate with Google to get a Google ID token, then call the IAM CreateUser API to create a temporary IAM user.","Authenticate with Google to get a Google ID token, then call STS AssumeRole directly using the Google token.","Authenticate with Google to get a Google ID token, store it in the Cognito User Pool, and use the User Pool token for AWS API calls.","Cognito Identity Pools support external identity providers including Google. The application authenticates with Google, receives a Google ID token, and passes it to the Cognito Identity Pool's GetId and GetCredentialsForIdentity APIs. Cognito validates the token with Google and returns temporary STS credentials scoped to the configured IAM role.","Creating IAM users dynamically for application end-users is an anti-pattern. IAM users are long-term identities intended for human operators and service accounts, not for application end-users. Cognito Identity Pools provide temporary credentials without creating persistent IAM users.","STS AssumeRole requires the caller to already have AWS credentials. A Google ID token is not an AWS credential and cannot be used directly with STS. The token must first be validated through Cognito Identity Pools, which then calls STS on behalf of the user.","Cognito User Pools are for managing your own user directory. They do not store third-party identity provider tokens. Additionally, Cognito User Pool tokens (JWTs) are not AWS credentials and cannot be used directly to call AWS APIs.",2026-05-17 09:13:12.626897+00,"[""cognito"",""iam"",""sts""]"
07a53e5e-c928-42b3-9321-f6e65d1b3b7d,13fa1148-28a6-4b5b-a42a-1eb1993717db,A team is evaluating a foundation model used for TEXT SUMMARIZATION and wants to compare model-generated summaries against human-written reference summaries by measuring overlap of words and n-grams. Which metric is purpose-built for this?,ROUGE,BLEU,RMSE,Accuracy,"ROUGE (Recall-Oriented Understudy for Gisting Evaluation) is a set of metrics designed to compare machine-generated summaries with reference summaries by measuring overlap (recall, precision, F1) of n-grams and longest common subsequences.","BLEU is designed primarily for machine translation evaluation, focusing on precision of n-grams.","RMSE is a regression metric for numerical predictions, not text summarization.",Accuracy is a classification metric; summaries are open-ended generation.,2026-05-17 09:09:27.200974+00,
07c977b2-e8ac-4800-bb7a-3bc447447582,8d08b0c8-a54b-4462-9395-76346c18d5e8,"Your team is building a CI/CD pipeline for a microservices application. Before deploying to production, the pipeline must run integration tests against a staging environment that mirrors production. The staging environment uses real AWS services including SQS and DynamoDB. Which approach best supports this integration testing stage in the pipeline?",Provision a dedicated staging AWS environment with real SQS queues and DynamoDB tables. Run integration tests in CodeBuild against the staging environment as a pipeline stage before the production deploy stage.,Run integration tests locally on the developer's machine using LocalStack before committing code.,Use AWS X-Ray in production to trace requests and identify integration failures after deployment.,Mock all AWS service calls in the integration tests using the AWS SDK mock library to avoid needing real AWS resources.,"A dedicated staging environment with real AWS services provides the highest fidelity integration testing. CodeBuild can run the test suite against the staging environment as a pipeline stage, and the pipeline only proceeds to production if all tests pass. This catches integration issues that mocking or local emulation cannot detect.",Running tests locally before committing is a good developer practice but is not part of the automated CI/CD pipeline. It relies on individual developers running tests consistently and does not provide a pipeline gate that blocks bad deployments.,"X-Ray traces requests in production after deployment. Using production as the integration test environment means failures affect real users. Integration testing must happen before production deployment, not after.","Mocking AWS service calls tests the application logic in isolation but does not test the actual integration with real AWS services. Mocks cannot detect issues like incorrect IAM permissions, wrong queue URLs, DynamoDB schema mismatches, or service-specific behavior differences.",2026-05-17 09:13:24.511734+00,"[""codebuild"",""codepipeline"",""sqs"",""dynamodb""]"
07e2fddd-1837-49f2-b722-94b2c463c964,ee04c877-d414-4d08-be68-c3ceffbe9465,A data analyst needs to query data stored in an Amazon Aurora MySQL database using standard SQL without connecting directly to the database. The analyst wants a serverless query interface that does not require managing database connections. Which AWS service enables this?,Amazon Athena Federated Query with the Aurora connector,Amazon Redshift Spectrum,AWS Glue Studio visual ETL,Amazon QuickSight direct query mode,"Amazon Athena Federated Query allows running SQL queries against data sources outside S3, including Aurora MySQL, using pre-built connectors deployed as Lambda functions. The analyst can query Aurora data through Athena's serverless interface without managing database connections directly.",Amazon Redshift Spectrum queries data in S3 from within Redshift. It does not provide a connector for querying Aurora MySQL databases.,AWS Glue Studio is a visual ETL authoring tool for building data transformation jobs. It is not a SQL query interface for ad-hoc analytics against Aurora.,"Amazon QuickSight in direct query mode connects to Aurora for BI visualizations but is a business intelligence tool, not a general-purpose SQL query interface with the same ad-hoc flexibility as Athena.",2026-05-17 09:12:23.431976+00,"[""athena"",""aurora""]"
08056877-a5e5-460c-9355-690023b2ad6a,0d9792f6-bb48-434e-934e-e7c323a97286,A data engineering team needs to allow an external partner's AWS account to read specific objects from an Amazon S3 bucket in the company's account. The partner should not need to create IAM users in the company's account. Which approach enables cross-account S3 access?,Attach an S3 bucket policy that grants the partner's AWS account ID read access to the specific prefix,Create an IAM user in the company's account and share the credentials with the partner,Make the S3 bucket public to allow the partner to access the objects,Use S3 Transfer Acceleration to share the objects with the partner,"An S3 bucket policy can grant cross-account access by specifying the partner's AWS account ID as the principal. The partner's IAM users or roles can then access the specified S3 prefix using their own AWS credentials, without needing IAM users in the company's account.",Creating an IAM user in the company's account and sharing credentials with the partner is a security anti-pattern. It creates long-lived credentials outside the partner's control and violates the principle of using federated or cross-account access.,"Making the S3 bucket public grants access to anyone on the internet, not just the partner. This is a significant security risk and violates the principle of least privilege.",S3 Transfer Acceleration improves upload and download speeds by routing through CloudFront edge locations. It is not an access control mechanism and does not grant cross-account access.,2026-05-17 09:12:23.431976+00,"[""s3"",""iam""]"
0830df42-7b78-42bf-972a-aa1fd57a0513,c9ff527d-763f-4b34-8d08-a31c1a218d98,A finance officer notices that the per-GB cost of S3 storage decreases as the company's monthly storage volume grows past several tiers. Which AWS pricing fundamental does this illustrate?,Pay less when you use more (tiered pricing),Always pay the same per-unit price regardless of volume,Pay only with annual upfront commitments,Pay more as you use more (penalty pricing),"AWS tiered (volume-based) pricing reduces the per-unit price at higher monthly usage tiers for many services, including S3 storage and data transfer. Customers ""pay less when you use more"".","AWS pricing is tiered, not flat per-unit, so per-unit cost can fall as volume grows.","Annual upfront commitments are optional Savings Plans, not the only way to get lower prices.",AWS pricing does not include penalty pricing for high usage; it provides volume discounts.,2026-05-17 09:08:54.872441+00,"[""s3""]"
083552cc-e549-42d4-aa79-faffcb06ba03,ab126dbc-3b99-4118-9c8f-a06c553f5faa,"Which responsible AI dimension is concerned with PROTECTING individuals' personal data within an AI system — including how data is collected, used, stored, and shared?",Privacy,Fairness,Veracity and robustness,Explainability,"Privacy is the responsible AI dimension concerned with protecting personal data — how it is collected, used, stored, shared, and (when appropriate) deleted. Differential privacy, encryption, and access controls all support it.","Fairness concerns equitable outcomes across groups, not data protection.",Veracity and robustness is about correctness under adversarial or unexpected inputs.,"Explainability is about understanding model outputs, not about data protection.",2026-05-17 09:11:00.713353+00,
088f2702-2667-4957-ba38-b6cef31f0933,3db50918-353b-4c3f-8496-8cc954424770,A regulator requires the company to demonstrate that all S3 buckets containing financial data are encrypted at rest and that any change to that encryption configuration is detected. Which combination of capabilities BEST supports this requirement?,"AWS Config rules that detect non-compliant bucket configurations, combined with S3 default encryption enabled by KMS",Amazon GuardDuty alone monitoring for suspicious encryption changes,Amazon Inspector scans for vulnerabilities on the buckets,AWS CloudTrail logs reviewed manually each quarter,S3 default encryption (using SSE-KMS or SSE-S3) ensures all new objects are encrypted at rest. AWS Config rules can continuously evaluate whether buckets remain compliant and generate findings if the configuration changes. Together they meet both the encryption and detection requirements.,"GuardDuty focuses on threat detection (e.g., suspicious API behavior). It is not the primary tool for confirming bucket encryption configuration compliance.","Amazon Inspector scans EC2 instances, Lambda functions, and container images for vulnerabilities. It does not evaluate S3 bucket encryption configuration.","CloudTrail logs API events, but manual quarterly review is not continuous detection. The auditor's requirement implies near-real-time detection that AWS Config rules provide.",2026-05-17 09:07:51.173233+00,"[""s3"",""config"",""kms""]"
