id,name,overview,deep_dive,created_at
12ce395d-7757-4d6c-908b-f41e178e6c65,sagemaker-pipelines,SageMaker native CI/CD service for orchestrating ML workflows from data prep to deployment.,"Define pipelines as Python DAGs using SageMaker Python SDK; step types: ProcessingStep, TrainingStep, TransformStep, TuningStep, ModelStep, ConditionStep, CallbackStep, LambdaStep, EMRStep; supports parameterization for reuse; integrates with Model Registry, Feature Store, Clarify, Model Monitor; lineage tracking shows data and model provenance; supports caching to skip redundant steps; execution via Studio UI, SDK, EventBridge schedules; integrates with CodeCommit/CodePipeline for full CI/CD.",2026-05-17 08:58:21.115874+00
1370d525-e4e3-427d-b0c3-24ac5394a930,timestream,Fully managed serverless time-series database for IoT and operational applications.,"Purpose-built for time-series data with automatic tiering: in-memory store for fast point-in-time queries, magnetic store for historical analysis; SQL-compatible query language with time-series-specific functions; integrates with Kinesis Data Streams, MSK, Grafana, QuickSight; scheduled queries pre-aggregate data; multi-measure records reduce ingestion costs vs single-measure; pricing per writes (per million), reads (per GB scanned), and storage; common uses: IoT telemetry, DevOps metrics, stock prices, click-stream analytics.",2026-05-17 08:58:21.115874+00
14870423-c612-42b5-9f55-6a4dc8077078,s3-object-lock,S3 feature that prevents object deletion or overwrite for a fixed period or indefinitely (WORM).,"Two retention modes: Governance mode (users with s3:BypassGovernanceRetention can override) and Compliance mode (no one, including root user, can override or shorten retention); Legal Hold places indefinite hold independent of retention period; must be enabled at bucket creation (cannot be added later via console, requires AWS Support for existing buckets); requires versioning enabled; commonly used for regulatory compliance (SEC 17a-4, FINRA, CFTC); does not affect object permissions, only deletion/overwrite.",2026-05-17 08:58:21.115874+00
1596d348-25ae-4d79-8d77-0cb8d8420291,datasync,Online data transfer service for moving large amounts of data between on-premises and AWS storage.,"Supports source/destination: on-prem NFS/SMB/HDFS/object storage, S3 (all storage classes), EFS, FSx (Windows, Lustre, NetApp ONTAP, OpenZFS), Azure Files, Google Cloud Storage; up to 10x faster than open-source tools; requires DataSync agent (VM image or hardware appliance) on-premises; supports scheduled tasks, bandwidth throttling, incremental transfers, data integrity verification, encryption in transit (TLS); pay per GB transferred; differs from Storage Gateway (which is for ongoing hybrid storage access, not one-time migration).",2026-05-17 08:58:21.115874+00
16c968e3-ccb5-4851-8f8f-67fe2a2744ec,directory-service,Managed Microsoft Active Directory and directory services in AWS.,"Three offerings: AWS Managed Microsoft AD (full Microsoft AD, supports trusts with on-prem AD, integrates with RDS for SQL Server, FSx, WorkSpaces), AD Connector (proxy to existing on-prem AD, no directory data stored in AWS), Simple AD (low-cost Samba-based, basic features only); Managed Microsoft AD deployed across 2 AZs; daily automated snapshots retained 5 days; supports schema extensions; can be joined to EC2 instances via Seamless Domain Join.",2026-05-17 08:58:21.115874+00
1759273d-e3db-48bb-a8d7-47529c4b7ffb,vpc-endpoint,Private connection from a VPC to AWS services or VPC endpoint services without traversing the public internet.,"Two types: Gateway endpoints (free, only S3 and DynamoDB, added as route in route table, no cross-region or on-prem access) and Interface endpoints (powered by PrivateLink, charged per hour per AZ + GB, ENI with private IP in subnet, supports cross-region and on-premises access via Direct Connect/VPN, 100+ AWS services); Gateway Load Balancer endpoints for third-party appliance traffic inspection; endpoint policies restrict which actions can be performed via the endpoint; allows VPC resources to connect to AWS services without public IPs.",2026-05-17 08:58:21.115874+00
1883e106-e1e9-4595-979c-dbaeb91d9b5f,organizations,Service for centrally managing and governing multiple AWS accounts.,"Management (master) account creates the organization; member accounts grouped into OUs (Organizational Units) hierarchically; SCPs (Service Control Policies) set max permissions across accounts/OUs (do not grant permissions); consolidated billing aggregates charges and shares RIs/Savings Plans discounts across accounts; supports two feature sets: Consolidated Billing only or All Features (required for SCPs); trusted access lets services like Config, CloudTrail, GuardDuty operate across accounts; delegated administrator allows non-management account to administer specific services; tag policies enforce consistent tags; backup policies enforce backup standards; account creation/move/close via API; global service, free.",2026-05-17 08:58:21.115874+00
19a3a256-5ad1-4c7f-b527-ed3f6d17103e,vpc,Virtual Private Cloud; logically isolated virtual network within AWS.,"Regional resource that spans all AZs in a region; CIDR block /16 to /28, can add secondary CIDRs; subnets are AZ-scoped (one AZ per subnet); public subnet routes 0.0.0.0/0 to Internet Gateway; private subnet has no IGW route (uses NAT Gateway for outbound); reserved IP addresses: first 4 and last 1 of every subnet (5 total); default VPC has IGW, public subnet per AZ, and main route table; gateways: Internet Gateway (IPv4/IPv6 internet), Egress-Only Internet Gateway (IPv6 outbound only), Virtual Private Gateway (Site-to-Site VPN/Direct Connect target), Customer Gateway (your end of VPN), NAT Gateway, Carrier Gateway (Wavelength), Transit Gateway; supports VPC peering, Transit Gateway, VPC endpoints, VPC sharing via RAM; flow logs capture traffic metadata to S3/CloudWatch Logs/Kinesis Firehose.",2026-05-17 08:58:21.115874+00
1a0ab642-c76f-4a7b-93a6-6a5833f3dba5,rekognition,Image and video analysis service using deep learning.,"Pre-trained for face detection/comparison/search, label detection, celebrity recognition, text in images (OCR), content moderation, PPE detection (mask/helmet/gloves), face liveness; Custom Labels trains custom image classification/object detection models with as few as 10 images; supports image input from S3 or bytes, video from Kinesis Video Streams or S3; face collections store face metadata for search (not actual images); pricing per image/minute of video processed plus storage for face collections.",2026-05-17 08:58:21.115874+00
1ada1587-52c2-4d76-acc9-36a445c32588,audit-manager,Service that continuously audits AWS usage against compliance frameworks.,"Uses pre-built frameworks for PCI DSS, GDPR, HIPAA, SOC 2, CIS, NIST, and AWS best practices; collects evidence from AWS Config, Security Hub, CloudTrail, License Manager; differs from AWS Artifact (which only proves AWS infrastructure compliance) by auditing your actual usage; supports custom frameworks; generates assessment reports for auditors; evidence collected continuously and saved in S3.",2026-05-17 08:58:21.115874+00
1db2363f-7988-4f6b-80ff-c80a35cf130a,sqs,Fully managed message queue service that decouples microservices and serverless apps.,"Queue types: Standard (nearly unlimited throughput, at-least-once delivery, best-effort ordering) and FIFO (up to 3000 msg/sec with batching/300 without, exactly-once, strict ordering); message size up to 256 KB (use Extended Client Library to store larger in S3); message retention 1 minute to 14 days (default 4 days); visibility timeout 0 sec to 12 hours (default 30 sec) hides messages from other consumers during processing; long polling (WaitTimeSeconds 1-20s) reduces empty responses and cost vs short polling (default 0); delay queues hide new messages 0-15 min; DLQ moves failed messages after maxReceiveCount; SSE via KMS; FIFO uses message group ID for ordering within group and parallel processing across groups.",2026-05-17 08:58:21.115874+00
20e3adab-91bc-4c90-8c25-054d03d2cfc0,sagemaker-ground-truth,Data labeling service that produces high-quality training datasets using human annotators.,"Workforce options: Amazon Mechanical Turk (public), private workforce (your employees), vendor workforce (AWS Marketplace vendors); supports image classification, object detection, semantic segmentation, text classification, named entity recognition, video object tracking, 3D point cloud; uses active learning to auto-label easy examples reducing human effort and cost; Ground Truth Plus offers fully managed labeling service (AWS provides workforce and project management); outputs to S3 in augmented manifest format directly consumable by SageMaker training.",2026-05-17 08:58:21.115874+00
2637d2e9-5ff1-4a04-98db-37e034981886,codecommit,Managed Git-compatible source control hosting service.,"Fully managed private Git repos; supports HTTPS and SSH access via IAM credentials or Git credentials; encrypted at rest with KMS; no repo size limit; integrates with CodePipeline, CodeBuild, CodeDeploy and triggers via EventBridge/SNS/Lambda; supports approval rule templates for pull requests; AWS announced no new customer onboarding as of mid-2024 (existing users continue).",2026-05-17 08:58:21.115874+00
2725d370-3156-4795-8a6e-8055bf30e6bb,trainium,"AWS custom chip purpose-built for high-performance, cost-effective ML training.","Powers Trn1 and Trn1n EC2 instances; up to 50% lower training cost than comparable GPU-based instances; supports PyTorch, TensorFlow, JAX via AWS Neuron SDK; Trn1n adds 1600 Gbps EFAv2 networking for distributed training; supports BF16, FP32, TF32, FP8 data types; Trainium2 (Trn2) available with improved performance; integrates with SageMaker for managed training; suited for training large transformer/LLM models, computer vision, recommendation systems.",2026-05-17 08:58:21.115874+00
29d85495-52e9-4993-8c0e-a6087971c446,forecast,Time-series forecasting service using machine learning (legacy; merged into SageMaker Canvas).,"Used built-in algorithms like DeepAR+, Prophet, ARIMA, ETS, NPTS, CNN-QR; required target time-series data plus optional related time-series and item metadata; generated point and probabilistic forecasts (P10/P50/P90); common uses: retail demand, financial planning, capacity planning, supply chain; AWS announced end of new customer access in 2024; functionality migrated to Amazon SageMaker Canvas time-series forecasting.",2026-05-17 08:58:21.115874+00
29f582fa-fe6f-4f22-8dd4-b7f62b759a88,stable-diffusion,Stability AI's Stable Diffusion text-to-image foundation models available via Amazon Bedrock.,"Generates images from text prompts; available models on Bedrock include Stable Diffusion XL (SDXL) and Stable Image variants; supports image-to-image (img2img), inpainting, outpainting via API parameters; output formats PNG/JPEG; common parameters: prompt, negative_prompt, cfg_scale, seed, steps, style_preset; billed per generated image; usable through Bedrock InvokeModel API, integrates with Bedrock Agents and Guardrails.",2026-05-17 08:58:21.115874+00
2bd9f5ea-e42d-49f0-9fa9-6df34662636b,nat-gateway,Managed NAT service that allows private subnet resources to initiate outbound internet connections.,"Deployed in a public subnet with an Elastic IP; supports up to 45 Gbps bandwidth, scales automatically; highly available within a single AZ (deploy one per AZ for cross-AZ HA); supports TCP, UDP, ICMP for IPv4; for IPv6 outbound use egress-only internet gateway; cannot be reached from outside the VPC; does not support port forwarding (use NAT instance for that); priced per hour and per GB processed; security groups cannot be attached to NAT Gateways (use NACL on the subnet); does not support fragmentation for TCP/ICMP (only UDP).",2026-05-17 08:58:21.115874+00
2cc0c1cf-8a44-4475-b15b-e3d95a81cd5b,data-quality,AWS Glue Data Quality; service that measures and monitors data quality in data lakes and pipelines.,"Uses DQDL (Data Quality Definition Language) to define rules like Completeness, Uniqueness, RowCount, ColumnValues; can generate rule recommendations automatically by analyzing sample data; integrates with Glue ETL jobs to fail or quarantine on rule violations; results published to CloudWatch and EventBridge; supports data sources in Glue Data Catalog (S3, RDS, Redshift, etc.); built on open-source Deequ.",2026-05-17 08:58:21.115874+00
2e17513c-6917-4912-8d8d-8d474b859e85,snowball,Petabyte-scale data transport device for offline data migration to AWS (legacy series).,"Original Snowball (50 TB or 80 TB usable, now mostly succeeded by Snowball Edge); shipped to your location, you load data, return to AWS for ingestion to S3; encrypts data with KMS, includes E-Ink shipping label and tamper-evident enclosure; for ongoing or multi-petabyte migrations consider Snowmobile (deprecated) or Snowcone; current Snow Family is primarily Snowball Edge (Storage Optimized, Compute Optimized) and Snowcone.",2026-05-17 08:58:21.115874+00
2ed8de9a-25ce-44fb-8e2f-c67cd9b8a1fc,elb,Elastic Load Balancing; distributes incoming traffic across multiple targets.,"Four types: Application Load Balancer (Layer 7, HTTP/HTTPS/gRPC), Network Load Balancer (Layer 4, TCP/UDP/TLS, millions of req/sec, ultra-low latency, static IP/EIP), Gateway Load Balancer (Layer 3 IP, deploys 3rd-party virtual appliances via GENEVE), Classic Load Balancer (legacy); ALB and NLB require at least 2 subnets in different AZs; cross-zone load balancing distributes requests evenly across all targets in all AZs (always on for ALB, optional for NLB/GWLB); deregistration delay (connection draining) default 300s; sticky sessions supported on ALB (app or duration cookies) and NLB (source IP); ALB only does host/path/header-based routing.",2026-05-17 08:58:21.115874+00
2f545df6-d4af-41da-88fa-bc228ec74f1b,sagemaker-deepar,SageMaker built-in algorithm for forecasting one-dimensional time series using recurrent neural networks.,"Supervised algorithm trained on a collection of related time series; produces probabilistic forecasts (point and quantile predictions); supports related (covariate) and categorical features; common uses: demand forecasting, financial planning, capacity planning; input format: JSON Lines (start, target, optional cat and dynamic_feat); hyperparameters include context_length, prediction_length, num_layers, num_cells, learning_rate, epochs; supports CPU and GPU instances.",2026-05-17 08:58:21.115874+00
2fa47200-838d-4af8-8da8-d441751c1966,nlb,"Network Load Balancer; Layer 4 load balancer for TCP, UDP, and TLS traffic.","Operates at OSI Layer 4; handles millions of requests/sec at ultra-low latency (microseconds-millisecond); preserves source IP by default; supports static IP addresses and Elastic IPs (one per AZ); routing uses flow hash algorithm based on protocol, source/dest IP and port, and TCP sequence number; supports TLS termination with ACM/IAM certs and SNI; targets: instances, IP addresses, ALB; idle timeout fixed at 350 seconds for TCP (not configurable); active and passive health checks (TCP, HTTP, HTTPS); preserves connection to a single target for the lifetime of the TCP connection; supports cross-zone load balancing (off by default, costs extra data transfer).",2026-05-17 08:58:21.115874+00
2fbf9228-324b-449c-993c-5c5b0b4323a7,ebs,"Persistent block storage volumes for EC2 instances, zonal in scope.","Volumes exist in a single AZ and can only attach to EC2 in the same AZ; SSD types: gp3 (default, baseline 3000 IOPS/125 MB/s independent of size, max 16,000 IOPS), gp2 (IOPS scales with size, max 16,000), io1 (max 64,000 IOPS), io2/io2 Block Express (max 256,000 IOPS, 99.999% durability, 1000 IOPS/GiB); HDD types: st1 (throughput-optimized, 500 MB/s max, big data), sc1 (cold, 250 MB/s max, lowest cost); only io1/io2 support Multi-Attach (up to 16 Nitro instances, same AZ); HDD volumes cannot be boot volumes; snapshots stored in S3 are incremental and can be copied cross-region; encryption via KMS; snapshots can be archived to EBS Snapshots Archive for long-term low-cost storage.",2026-05-17 08:58:21.115874+00
3192ea95-09c5-4933-92f7-f97200093026,redshift,Fully managed petabyte-scale data warehouse for OLAP workloads.,"Cluster of leader node (query planning) + compute nodes (parallel execution); node types: RA3 (managed storage, separates compute/storage), DC2 (dense compute, legacy); columnar storage with compression; massively parallel processing (MPP); Redshift Spectrum queries data in S3 without loading; concurrency scaling adds capacity automatically (1 free hour per day, then paid); Redshift Serverless auto-provisions and scales by RPU (Redshift Processing Units); single-AZ by default, but RA3 supports Multi-AZ; automated backups retained 1-35 days; cross-region snapshot copy; integrates with Glue Data Catalog, Lake Formation, QuickSight; Redshift ML uses SageMaker for in-database ML; data sharing across clusters and accounts.",2026-05-17 08:58:21.115874+00
32b9fd0d-256c-4dcb-8441-5aceaa700bc8,security-groups,Stateful virtual firewall at the instance/ENI level controlling inbound and outbound traffic.,"Attached to ENIs (not instances directly); stateful (return traffic automatically allowed); support only allow rules, no deny; default SG allows all outbound and inbound from same SG; newly created SG allows all outbound and no inbound; can reference other SGs as source/destination by ID for dynamic membership; default limit: 60 inbound + 60 outbound rules per SG, 5 SGs per ENI; bound to a single VPC; evaluates all rules to determine if traffic is allowed (unlike NACLs which evaluate in order); when allowing communication between two instances, use private IP addresses, not public/Elastic IPs.",2026-05-17 08:58:21.115874+00
32d773ca-bad8-4575-ae1f-aab028486004,sam,AWS Serverless Application Model; framework for building serverless applications using simplified syntax.,"Extension of CloudFormation with transform AWS::Serverless-2016-10-31; resource types: AWS::Serverless::Function (Lambda + role + event sources), AWS::Serverless::Api (API Gateway), AWS::Serverless::HttpApi, AWS::Serverless::StateMachine (Step Functions), AWS::Serverless::Application, AWS::Serverless::LayerVersion, AWS::Serverless::SimpleTable; SAM CLI commands: sam init (scaffold), sam build (package code+deps), sam local invoke/start-api (local testing), sam package, sam deploy (one-click deploy with guided prompts), sam sync (faster iterations); under the hood transforms to native CloudFormation; can mix SAM and CFN resources in same template.",2026-05-17 08:58:21.115874+00
32fc11d3-e3fd-4400-aa7f-6868b706c008,titan,Amazon Titan; family of foundation models from Amazon available via Bedrock.,"Titan Text models (G1 Express, Lite, Premier) for text generation, summarization, Q&A, classification; Titan Embeddings (text and multimodal) for vector embeddings used in RAG and semantic search; Titan Image Generator for text-to-image generation with built-in invisible watermark; Titan Multimodal Embeddings for image+text vector search; supports fine-tuning with custom data; integrates with Bedrock Guardrails, Agents, Knowledge Bases; trained with responsible AI considerations.",2026-05-17 08:58:21.115874+00
33afd614-3999-4df5-9437-74e3dfc366bf,sagemaker-jumpstart,SageMaker hub of pre-trained foundation models and solution templates for one-click deployment.,"Includes hundreds of pre-trained models for text, vision, tabular tasks from Hugging Face, PyTorch Hub, TensorFlow Hub, plus proprietary models; foundation models include Llama, Falcon, Stable Diffusion, FLAN-T5, BloomZ for direct deployment or fine-tuning; solution templates provide end-to-end ML workflows (fraud detection, demand forecasting, churn prediction); fine-tune models with your data via Studio UI; deploy to real-time or async endpoints; supports private model hubs for organization-curated models.",2026-05-17 08:58:21.115874+00
3601f4c4-0809-4401-a10a-bc88d2adf928,kafka,Apache Kafka is an open-source distributed event streaming platform.,"Producers publish to topics partitioned across brokers; consumers read from partitions in consumer groups; offsets track read position per consumer group per partition; replication factor controls fault tolerance; retention configurable by time or size; Kafka Connect framework integrates external data systems; Kafka Streams for stream processing in JVM; KRaft mode replaces ZooKeeper in newer versions; on AWS, run on EC2 (self-managed) or use Amazon MSK (managed).",2026-05-17 08:58:21.115874+00
37050442-04c3-47e4-9730-4d9e4a401d8d,sagemaker-neo,SageMaker feature that optimizes ML models for deployment on edge devices and cloud instances.,"Compiles models trained with TensorFlow, PyTorch, MXNet, ONNX, XGBoost, scikit-learn for target hardware: Intel/AMD/ARM CPUs, NVIDIA GPUs, Inferentia, edge devices (Raspberry Pi, Jetson, smartphones); typically 2x performance improvement with no accuracy loss by applying hardware-specific optimizations; compiled models can be deployed via SageMaker endpoints or downloaded for edge deployment; integrates with IoT Greengrass for edge model deployment via SageMaker Edge Manager (deprecated in 2024).",2026-05-17 08:58:21.115874+00
38a5fca9-dfc6-44a5-a420-092580f0e824,cloudformation,Infrastructure-as-code service that provisions AWS resources from JSON or YAML templates.,"Templates have sections: AWSTemplateFormatVersion, Description, Metadata, Parameters, Mappings, Conditions, Transform, Resources (the only required section), Outputs; resources deployed as a stack; failed deploys roll back to last known good state by default; nested stacks allow modular composition; StackSets deploy stacks across multiple accounts and regions in one operation; change sets preview modifications before applying; drift detection compares actual config to template; intrinsic functions: !Ref, !GetAtt, !Sub, !FindInMap, !Join, !If; dynamic references resolve ssm, ssm-secure, and secretsmanager values at deploy time.",2026-05-17 08:58:21.115874+00
3aa0bd0a-1b19-4da8-94d1-e60098ba0944,sagemaker-endpoints,SageMaker real-time inference endpoints; persistent HTTPS endpoints for low-latency predictions.,"Endpoint types: real-time (always-on, billed per instance-hour, sub-second latency), serverless inference (auto-scales to zero, pay per request, cold starts possible), asynchronous inference (large payloads up to 1 GB, long inference time up to 1 hour, requests queued); multi-model endpoints host thousands of models on a single endpoint, models loaded on demand from S3; multi-container endpoints run multiple containers behind one endpoint; auto-scaling supported via Application Auto Scaling on invocations per instance or custom metrics; production variants enable A/B testing and canary deployments; shadow testing routes copies of traffic without affecting users.",2026-05-17 08:58:21.115874+00
408fc056-4f61-48c4-b0d9-b720ffa9922d,elastic-beanstalk,PaaS that deploys and manages web applications without provisioning infrastructure.,"Supports Java, .NET, PHP, Node.js, Python, Ruby, Go, Docker; environments: Web Server (HTTP, with optional ALB) or Worker (processes SQS messages); deployment policies: All at Once (downtime, fastest), Rolling (batches, reduced capacity), Rolling with Additional Batch (full capacity, costs extra), Immutable (new ASG, safest, doubles capacity), Traffic Splitting (canary); Blue/Green via Swap Environment URLs (no downtime); customization via .ebextensions/*.config files at app root (YAML/JSON); EB CLI uses eb deploy/init/open commands; application versions limited to 1000 per region (use lifecycle policy to auto-delete old versions); free service, pay only for underlying resources.",2026-05-17 08:58:21.115874+00
41db454d-cfcd-4f59-b677-43318348952f,api-gateway,"Managed service for creating, publishing, and securing REST, HTTP, and WebSocket APIs.","Three API types: REST API (full features, caching, API keys, usage plans), HTTP API (cheaper, simpler, lower latency, no built-in caching), WebSocket API (real-time bidirectional); request flow: Method Request -> Integration Request -> Backend -> Integration Response -> Method Response; integrations: Lambda (proxy/non-proxy), HTTP, Mock, AWS Service, VPC Link; mapping templates use Velocity Template Language (VTL) for non-proxy only; authorizers: AWS_IAM, Cognito User Pool, Lambda authorizer; usage plans tie API keys to throttling/quota; stage variables enable canary deployments; cache TTL configurable, invalidate via Cache-Control: max-age=0; CORS must be explicitly enabled.",2026-05-17 08:58:21.115874+00
42ca333a-9669-4b1e-b92e-6c23bd9c1616,rds-proxy,Fully managed database proxy for RDS that pools and shares database connections.,"Supports MySQL, MariaDB, PostgreSQL, SQL Server, Aurora; reduces failover time by up to 66% by holding application connections; protects DB from connection storms (especially from Lambda); credentials stored in Secrets Manager; IAM authentication supported; pinning may occur with session variables/temp tables/locks (reduces connection reuse); deployed in VPC subnets; pricing per vCPU of the database instance(s) per hour.",2026-05-17 08:58:21.115874+00
42e7ce33-1f53-4cca-a3dd-c11206835400,step-functions,Serverless orchestration service that coordinates workflows of AWS services using state machines.,"Two workflow types: Standard (long-running up to 1 year, exactly-once, at-least-once on retry, billed per state transition) and Express (high-throughput up to 100K/sec, at-most-once or at-least-once, max 5 minutes, billed per invocation + duration); state types: Task (do work via Lambda, ECS, SNS, SQS, DynamoDB, etc.), Choice (branching), Parallel, Map (iterate), Wait, Pass, Succeed, Fail; defined in Amazon States Language (ASL, JSON-based) or via Workflow Studio drag-and-drop; input/output processing filters: InputPath, Parameters, ResultSelector, ResultPath, OutputPath; supports error handling with Retry and Catch; nested workflows via Map and Parallel; integrates with 200+ AWS services via SDK integration.",2026-05-17 08:58:21.115874+00
42f22623-a301-4870-af2b-6ac113acabb3,ams,AWS Managed Services provides ongoing management of AWS infrastructure on behalf of enterprises.,"Offers operational management for AWS workloads including provisioning, patching, monitoring, backup, incident response, security, and compliance; two operating models: AMS Accelerate (works with existing accounts) and AMS Advanced (more prescriptive with landing zone); follows ITIL-based processes for change management; integrates with Service Catalog for self-service provisioning; targeted at large enterprises wanting to outsource cloud operations.",2026-05-17 08:58:21.115874+00
45592dbd-7136-41c2-b626-da29822ed817,aws-iq,Marketplace connecting customers with AWS Certified third-party experts for project work.,Customers post project requests; AWS Certified experts (individuals and firms) respond; experts and customers agree on milestones and pricing; AWS handles invoicing and payments; not for ongoing managed services (use AMS); available in most AWS regions; uses cross-account IAM roles for expert access to customer resources.,2026-05-17 08:58:21.115874+00
45fe8da9-219e-4e8f-9f9d-0e37935cf066,data-catalog,AWS Glue Data Catalog; central metadata repository for data stored in AWS.,"Apache Hive-compatible metastore; stores table definitions, schemas, partitions, and locations for data in S3, Redshift, RDS, etc.; queryable by Athena, Redshift Spectrum, EMR, Glue ETL, Lake Formation; populated by Glue Crawlers, manually, or via API; supports schema versioning and table partitioning; pricing per million objects stored and per million requests; one Data Catalog per region per account.",2026-05-17 08:58:21.115874+00
