id,exam_id,number,name
6498cdc9-13c5-47de-a1e7-eaaaac05b883,2e64290b-2bb2-40e8-9b66-0b6f084db46c,4,Guidelines for Responsible AI
6649703c-8261-4343-9b1d-63d52b2de76c,641148b7-475d-4db4-9fa4-42356a8adc84,3,Deployment and Orchestration of ML Workflows
66ca14dc-5b79-4fd3-a3a9-5a1b224185c0,2e64290b-2bb2-40e8-9b66-0b6f084db46c,5,"Security, Compliance, and Governance for AI Solutions"
675af201-4480-4a80-b863-a0c37f08eb31,b387a81d-c0a6-4ad2-98c1-a74f9d87a3b3,4,Identity and Access Management
7be36c60-303f-413f-ac43-26d0f17de86e,e571030f-5101-4d63-99fd-01813d34b1dd,3,Design High-Performing Architectures
7f7016d9-c635-40b5-bd9b-0c1ce9c1d0db,e571030f-5101-4d63-99fd-01813d34b1dd,2,Design Resilient Architectures
85c322e7-d14b-4bf8-80c6-3a281f4de0db,e571030f-5101-4d63-99fd-01813d34b1dd,4,Design Cost-Optimized Architectures
8aa8ea67-43f7-489d-90eb-a745904087ac,2e64290b-2bb2-40e8-9b66-0b6f084db46c,1,Fundamentals of AI and ML
90e37868-c663-4101-800f-410a9e3f899c,641148b7-475d-4db4-9fa4-42356a8adc84,1,Data Preparation for Machine Learning
9165621e-385c-4219-8751-9fbfb35e235c,0cba4c9d-c747-46c2-b366-63c45c77e826,4,Billing and Pricing
93cf9b98-cb58-442d-8783-7f8125d5d775,5155598d-be2b-43e7-84e0-d00838cfa608,2,Security
96ed615c-d204-40c7-bfd1-7b6edf0fbc92,b967ee02-65e1-49d1-bde7-d7a92f98c039,2,Design for New Solutions
98dc7eee-7191-4602-a882-3ed4ff179437,fec2781e-7342-448f-a226-1469d7fdcb67,2,Reliability and Business Continuity
998d6aad-c0c2-44fc-9500-adb561dadb3d,ed802a65-ebef-4d51-8208-7d22e5641ee6,1,Data Ingestion and Transformation
9ea6125a-4d31-4c5e-98d8-e79582277431,17b647e6-0dbe-442e-9871-8d3f4ab90bbe,4,Monitoring and Logging
a07f68ce-8c2f-4487-b21a-5b190f2375f1,b387a81d-c0a6-4ad2-98c1-a74f9d87a3b3,1,Detection
a14f201e-71a9-4fda-8252-0f931b981409,0cba4c9d-c747-46c2-b366-63c45c77e826,3,Technology
a1cb0765-5950-4c37-a38e-ffc76d1b94e5,e185433c-3845-4f70-a864-418ac180fdb4,2,Implementation and Integration
a5575ed3-a5a4-4218-91ec-7540b30dd903,ed802a65-ebef-4d51-8208-7d22e5641ee6,2,Data Store Management
a77e63de-6c74-44f4-b464-167b393b3802,641148b7-475d-4db4-9fa4-42356a8adc84,2,ML Model Development
ab98ffa5-9d62-4d9e-81bb-46aba097ae03,e571030f-5101-4d63-99fd-01813d34b1dd,1,Design Secure Architectures
b2693d10-e227-4385-bf90-07dbfdbc011c,0cba4c9d-c747-46c2-b366-63c45c77e826,2,Security and Compliance
b2bffab2-e825-49f3-abd3-8004814aeb73,b967ee02-65e1-49d1-bde7-d7a92f98c039,4,Accelerate Workload Migration and Modernization
bbf1b2f9-8a17-4fb8-80ad-9e47b72d98e3,5155598d-be2b-43e7-84e0-d00838cfa608,4,Troubleshooting and Optimization
c11c4bae-37fd-4661-8e04-6ea82ac57f86,fec2781e-7342-448f-a226-1469d7fdcb67,4,Security and Compliance
c19b3a38-09aa-41b1-88ee-65def0ccb8d4,e185433c-3845-4f70-a864-418ac180fdb4,3,"AI Safety, Security, and Governance"
c54ac289-b927-4596-81eb-73cbc5672ba0,5155598d-be2b-43e7-84e0-d00838cfa608,3,Deployment
d1fd51cb-4c75-48fc-8b76-aedcb80c1f4f,e185433c-3845-4f70-a864-418ac180fdb4,4,Operational Efficiency and Optimization for GenAI Applications
da4b76bd-8dd3-4275-b146-48efb05b1f41,17b647e6-0dbe-442e-9871-8d3f4ab90bbe,2,Configuration Management and IaC
dc19a309-fd04-45d1-90a5-661ec0b769e5,fec2781e-7342-448f-a226-1469d7fdcb67,3,"Deployment, Provisioning, and Automation"
e1d20877-d725-4cf1-a45d-2284a4b7fa8d,17b647e6-0dbe-442e-9871-8d3f4ab90bbe,6,Security and Compliance
e582013f-1038-4bb3-a18a-d158ad2cc244,5155598d-be2b-43e7-84e0-d00838cfa608,1,Development with AWS Services
f062244e-d126-46b1-93af-a01db4b52cd3,bda87e23-7e3c-407a-9ca7-65f4399f9ebb,3,Network Management and Operation
fe91081e-30a3-488f-ad04-1b07395e00a1,b967ee02-65e1-49d1-bde7-d7a92f98c039,3,Continuous Improvement for Existing Solutions
